Team,Total Salaries,Total Players,Cap Room,Guaranteed Salaries,Year,Source,Table Number
Atlanta Dream,"$1,339,000",13,$0,"$798,700",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Chicago Sky,"$1,338,778",11,$222,"$953,375",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Connecticut Sun,"$1,352,115",11,"-$13,115","$1,053,496",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Dallas Wings,"$1,243,559",12,"$95,441","$716,381",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Golden State Valkyries,$0,0,"$1,339,000",$0,2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Indiana Fever,"$1,277,179",12,"$61,821","$645,991",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Las Vegas Aces,"$1,345,922",11,"-$6,922","$969,110",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Los Angeles Sparks,"$1,338,518",11,$482,"$882,643",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Minnesota Lynx,"$1,346,277",12,"-$7,277","$979,210",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
New York Liberty,"$1,338,063",12,$937,"$855,907",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Phoenix Mercury,"$1,353,144",11,"-$14,144","$874,513",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Portland Fire,$0,0,"$1,339,000",$0,2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Seattle Storm,"$1,336,367",13,"$2,633","$725,569",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Toronto Tempo,$0,0,"$1,339,000",$0,2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Washington Mystics,"$1,278,114",12,"$60,886","$805,556",2021,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2021/,0
Atlanta Dream,"$1,387,450",13,"-$8,250","$659,767",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Chicago Sky,"$1,390,326",10,"-$11,126","$1,072,350",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Connecticut Sun,"$1,388,073",12,"-$8,873","$1,146,206",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Dallas Wings,"$1,351,880",12,"$27,320","$713,372",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Golden State Valkyries,$0,0,"$1,379,200",$0,2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Indiana Fever,"$1,362,025",12,"$17,175","$840,289",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Las Vegas Aces,"$1,379,122",12,$78,"$735,584",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Los Angeles Sparks,"$1,318,891",12,"$60,309","$777,480",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Minnesota Lynx,"$1,407,819",11,"-$28,619","$1,061,106",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
New York Liberty,"$1,379,195",12,$5,"$974,516",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Phoenix Mercury,"$1,436,777",13,"-$57,577","$745,512",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Portland Fire,$0,0,"$1,379,200",$0,2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Seattle Storm,"$1,374,438",11,"$4,762","$1,020,400",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Toronto Tempo,$0,0,"$1,379,200",$0,2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Washington Mystics,"$1,378,288",12,$912,"$1,081,636",2022,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2022/,0
Atlanta Dream,"$1,373,605",12,"$46,895","$872,239",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Chicago Sky,"$1,473,955",13,"-$53,455","$979,864",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Connecticut Sun,"$1,420,713",11,-$213,"$913,780",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Dallas Wings,"$1,422,602",12,"-$2,102","$963,481",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Golden State Valkyries,$0,0,"$1,420,500",$0,2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Indiana Fever,"$1,353,656",12,"$66,844","$794,611",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Las Vegas Aces,"$1,445,084",12,"-$24,584","$963,588",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Los Angeles Sparks,"$1,568,135",13,"-$147,635","$879,457",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Minnesota Lynx,"$1,516,298",11,"-$95,798","$660,839",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
New York Liberty,"$1,446,733",10,"-$26,233","$1,250,863",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Phoenix Mercury,"$1,497,615",12,"-$77,115","$910,616",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Portland Fire,$0,0,"$1,420,500",$0,2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Seattle Storm,"$1,419,930",11,$570,"$989,019",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Toronto Tempo,$0,0,"$1,420,500",$0,2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Washington Mystics,"$1,458,970",11,"-$38,470","$1,106,162",2023,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2023/,0
Atlanta Dream,"$1,450,114",13,"$13,086","$920,328",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Chicago Sky,"$1,329,477",13,"$133,723","$911,452",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Connecticut Sun,"$1,463,200",11,$0,"$1,021,864",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Dallas Wings,"$1,470,002",11,"-$6,802","$1,043,201",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Golden State Valkyries,$0,0,"$1,463,200",$0,2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Indiana Fever,"$1,396,695",12,"$66,505","$801,216",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Las Vegas Aces,"$1,463,200",12,$0,"$960,477",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Los Angeles Sparks,"$1,412,887",14,"$50,313","$913,978",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Minnesota Lynx,"$1,463,179",12,$21,"$722,093",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
New York Liberty,"$1,463,167",12,$33,"$764,543",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Phoenix Mercury,"$1,462,487",12,$713,"$1,259,851",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Portland Fire,$0,0,"$1,463,200",$0,2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Seattle Storm,"$1,462,496",11,$704,"$1,164,178",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Toronto Tempo,$0,0,"$1,463,200",$0,2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Washington Mystics,"$1,424,013",12,"$39,187","$851,011",2024,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2024/,0
Atlanta Dream,"$1,506,483",12,$617,"$1,289,510",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Chicago Sky,"$1,502,627",12,"$4,473","$627,387",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Connecticut Sun,"$1,292,753",12,"$214,347","$713,063",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Dallas Wings,"$1,518,904",15,"-$11,804","$844,320",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Golden State Valkyries,"$1,287,618",13,"$219,482","$437,813",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Indiana Fever,"$1,491,116",16,"$15,984","$891,404",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Las Vegas Aces,"$1,530,746",11,"-$23,646","$1,182,828",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Los Angeles Sparks,"$1,487,034",12,"$20,066","$773,720",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Minnesota Lynx,"$1,508,049",12,-$949,"$939,420",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
New York Liberty,"$1,504,935",12,"$2,165","$733,657",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Phoenix Mercury,"$1,506,620",12,$480,"$990,811",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Portland Fire,$0,0,"$1,507,100",$0,2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Seattle Storm,"$1,464,680",12,"$42,420","$1,111,874",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Toronto Tempo,$0,0,"$1,507,100",$0,2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Washington Mystics,"$1,235,882",12,"$271,218","$406,431",2025,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2025/,0
Atlanta Dream,"$6,801,105",12,"$198,895","$5,077,913",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Chicago Sky,"$7,072,492",13,"-$72,492","$4,725,219",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Connecticut Sun,"$6,199,231",12,"$800,769","$4,353,371",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Dallas Wings,"$6,811,981",12,"$188,019","$4,996,324",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Golden State Valkyries,"$7,128,145",12,"-$128,145","$4,918,999",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Indiana Fever,"$6,993,345",12,"$6,655","$5,270,231",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Las Vegas Aces,"$6,992,500",12,"$7,500","$5,612,500",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Los Angeles Sparks,"$6,720,374",11,"$279,626","$4,861,523",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Minnesota Lynx,"$6,987,103",12,"$12,897","$5,659,725",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
New York Liberty,"$6,870,096",12,"$129,904","$4,854,086",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Phoenix Mercury,"$6,245,430",11,"$754,570","$3,830,976",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Portland Fire,"$4,987,988",12,"$2,012,012","$2,784,296",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Seattle Storm,"$6,324,037",12,"$675,963","$5,094,563",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Toronto Tempo,"$6,410,857",12,"$589,143","$4,974,759",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
Washington Mystics,"$5,163,361",12,"$1,836,639","$2,936,892",2026,https://herhoopstats.com/salary-cap-sheet/wnba/summary/2026/,0
